amenity	n. 便利设施, 适意, 礼仪 [法] 舒适, 方便, 优雅
amiable	a. 亲切的, 和蔼可亲的 [法] 亲和的, 和蔼可亲的
amicable	a. 友善的, 友好的 [法] 友好的, 和睦的, 温和的
amid	prep. 在其间, 在其中 [经] 在...中
amnesia	n. 健忘症, 记忆缺失 [医] 记忆缺失, 遗忘[症]
amnesty	n. 大赦, 赦免
amount	n. 总数, 总额 vi. 总计, 等同
ample	a. 大量的, 充足的, 丰富的
amplification	n. 扩大, 放大 [化] 放大; 放大作用
amplify	vt. 增强, 放大, 扩大, 详述 vi. 引伸
analogous	a. 类似的, 相似的 [医] 类似的, 类同的
analogy	n. 相似, 类似 [计] 模拟
analysis	n. 分析 [计] 分析机; 分析员; 分析; 分析程序
analyze	vt. 分析, 细察, 分解 [机] 分析
anarchist	n. 无政府主义者 [法] 无政府主义者
anatomy	n. 剖析, 解剖学, 骨骼, 结构 [医] 解剖学, 解剖
ancestor	n. 祖先, 祖宗
ancestral	a. 祖先的, 祖传的 [法] 祖先的, 祖传的
ancestry	n. 祖先, 世系, 名门出身
anecdotal	a. 轶事的, 爱谈奇闻轶事的, 多轶事的
anecdote	n. 轶事, 奇闻
anesthesia	n. 麻醉, 麻木 [化] 麻醉; 失去知觉
anesthetic	n. 麻醉剂, 麻药 a. 麻醉的
angle	n. 角, 角度, 角落 vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度 vt. 使转动角度, 在...钓鱼, 获取
anguish	n. 剧痛, 痛苦 vt. 使极痛苦 vi. 感到痛苦
angular	a. 有角的, 消瘦的, 有尖角的, 生硬的 [医] 角的, 角形的
animated	a. 活生生的, 能活动的, 活泼的, 欢快的
animosity	n. 仇恨, 憎恶, 敌意
annex	n. 附加物, 附属建筑物 vt. 附加, 盖(印), 并吞
annihilate	vt. 消灭, 废止
annotate	v. 作注解, 注释 [计] 注释
announce	vt. 宣布, 声称, 显示, 预告 vi. 当报幕员, 宣布参加竞选
announcement	n. 公告, 发表, 告知 [经] 通告, 布告, 公告
announcer	n. 节目报告员, 宣告者
annoy	vt. 使恼怒, 骚扰
annoying	a. 恼人的, 讨厌的
annual	n. 年刊, 年报 a. 每年的, 一年一次的, 全年的, 一年生的
annually	adv. 一年一次, 每年 [经] 年度的, 每年的
annul	vt. 废除, 宣告无效, 取消 [经] 撤销, 宣告无效
anomalous	a. 不规则的, 反常的 [医] 异常的, 反常的
anomaly	n. 不规则, 反常事物, 畸形 [医] 异常, 反常
anonymous	a. 姓氏不详的, 无名的, 无特色的 [计] 无记录
antagonism	n. 对立, 敌对, 敌意 [化] 拮抗作用; 消效作用
antagonist	n. 敌手, 对手 [化] 对抗物; 拮抗物; 反协同剂; 反协同试剂
antagonize	vt. 使对抗, 使敌对, 反对 vi. 引起反抗
Antarctica	n. 南极洲
antedate	vt. 先于, 前于 [经] 提前日期(比实际毋早的日期)
anthem	n. 圣歌, 赞美诗
anthology	n. 选集, 诗选
anthropology	n. 人类学 [医] 人类学
antibiotic	n. 抗生素 a. 抗生的
anticipate	vt. 预期, 占先, 加速, 提前使用 [医] 提前出现, 先期发生
anticipation	n. 预期, 预料 [医] 提前出现(如遗传病)
antipathy	n. 厌恶, 反感 [医] 反感, 厌恶; 相克疗法
antiquate	vt. 使古旧, 废弃
antiquated	a. 陈旧的, 过时的, 年老的
antique	n. 古董, 古物 a. 古老的, 古风的, 旧式的, 过时的
antiquity	n. 古老, 古代, 古代人, 古物
antiseptic	n. 抗菌剂, 防腐剂 a. 抗菌的, 防腐的
anxiety	n. 焦虑, 忧虑, 令人焦虑的事 [医] 焦虑
anxious	a. 忧虑的, 发愁的, 渴望的
apathetic	a. 缺乏感情的, 无动于衷的, 缺乏兴趣的 [医] 无情[感]的, 淡漠的
ape	n. 无尾猿 [计] 应用程序评价
aperture	n. 孔, 缝隙, 孔径 [计] 窗孔; 小孔
apex	n. 顶, 尖端, 最高潮 [医] 尖, 尖端
apologize	vi. 道歉, 辩解
apology	n. 道歉, 辩护 [法] 道歉, 谢罪, 辩解者
apostasy	n. 叛教, 变节, 脱党 [法] 叛教, 背教, 脱党
appall	vt. 使丧胆, 使惊骇
apparel	n. 衣服, 外表 vt. 使穿衣, 装饰
appeal	n. 恳求, 诉请, 上诉, 吸引力 vi. 呼吁, 诉请, 要求, 上诉, 有吸引力 vt. 将...上诉
appealing	a. 有感染力的, 动人的, 恳求的
appear	vi. 出现, 显得, 来到 [法] 出庭, 到案, 出现
appetite	n. 食欲, 欲望, 爱好 [医] 食欲
applaud	v. 拍手喝彩, 称赞, 赞同
appliance	n. 器械, 用具, 应用 [医] 矫正器; 器
applicant	n. 申请者 [经] 申请人, 请求人, 谋事人
application	n. 应用, 申请, 志愿书, 应用程序 [计] 应用, 应用程序
apply	vt. 涂, 应用 vi. 申请, 适用
appoint	vt. 任命, 指定, 下令 [法] 派, 派任, 任命
appointment	n. 约会, 委任的职位, 委派 [经] 任命, 派, 指定
apportion	vt. 分配, 分摊, 分派 [法] 分派, 分摊, 分配
appraisal	n. 评价, 估价 [经] 评价, 评估
appraise	vt. 评价, 估价 [经] 评价, 鉴定
appreciable	a. 可感知的, 可评估的
appreciate	vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏 vi. 增值, 涨价
appreciation	n. 感激, 赏识, 鉴别 [经] 涨价, 增值
apprehend	vt. 理解, 忧虑, 逮捕 vi. 担心, 理解
apprehension	n. 理解, 忧惧, 逮捕 [医] 领会
apprentice	n. 学徒, 生手 vt. 使做学徒
approach	n. 接近, 入门 vt. 接近, 近似, 找...商量 vi. 靠近
approaching	v. 进场；侵入；接近（approach的ing形式）
appropriate	a. 适当的 [经] 适当的, 拨出, 占用
appropriation	n. 拨用, 挪用, 拨款 [经] 拨款, 挪用
approval	n. 赞成, 批准 [化] 核准
approve	vt. 赞同, 核准, 为...提供证据 vi. 赞许
approximate	a. 大约的, 接近的, 近似的 vt. 接近, 使接近, 粗略估计 vi. 接近于
approximately	adv. 大约, 大致, 近于 [经] 大约, 近似
apt	a. 有...倾向的, 易于的, 恰当的, 聪明的 [计] 自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具
aptitude	n. 资质, 才能, 自然倾向 [医] 资质, 才能
aptly	adv. 适当地, 适宜地
aquamarine	n. 海蓝宝石, 浅绿色 [化] 海蓝宝石
aquarium	n. 水族馆, 养鱼池, 水草缸 [医] 培养缸
aquatic	n. 水生动物, 水生植物 a. 水生的, 水中的, 水上的
arable	a. 适于耕种的, 可耕的
arbitrary	a. 任意的, 武断的, 专治的, 霸道的
arbitration	n. 仲裁, 公断 [计] 仲裁
arbitrator	n. 仲裁人, 公断者 [经] 公断人, 仲裁人
arboreal	a. 树的, 栖于树木的 [医] 树的, 树上生活的
arc	n. 弧, 弧形, 弓形, 弧光 [化] 弧
arch	n. 拱门, 拱形, 足弓 vt. 使成弓形 vi. 拱起, 成弓形 a. 主要的, 调皮的, 傲慢无礼的, 狡猾的
archaeological	a. 考古学的, 考古学上的
archaeology	n. 考古学
archaic	a. 古体的, 过时的, 古老的, 古代的 [医] 原始的, 古代的
archipelago	n. 群岛, 多岛屿的海
architect	n. 建筑师, 设计者, 缔造者
architectural	a. 有关建筑的, 建筑学的
architecture	n. 建筑学, 建筑式样 [计] 体系结构
arctic	a. 北极的, 极寒的 n. 北极圈, 北极
ardent	a. 热心的, 激动的, 燃烧般的 [医] 灼热的; 热心的
ardor	n. 热忱, 热情, 情欲, 激情, 灼热 [医] 灼热; 热心
arduous	a. 费力的, 努力的, 险峻的
arena	n. 角斗场, 舞台, 场地 [医] 尿沉渣, 尿沙; 脑沙
aria	n. 独唱特写镜头, 咏叹调
arid	a. 干燥的, 不毛的
arise	vi. 站立, 出现, 起来
aristocrat	n. 贵族
arithmetic	n. 算术, 算术知识 [机] 算术; 算术的
armament	n. 军备, 军队, 武器 [机] 武器
armor	n. 盔甲, 潜水服, 装甲 vt. 为...装甲
armored	a. 装甲的
armory	n. 纹章, 纹章学, 军械库, 兵工厂 [机] 军械库
arms	n. 武器, 军事行动 [机] 武器, 军械, 枪械
aroma	n. 浓香, 香气 [医] 香气, 芳香气
aromatic	a. 芬芳的 [医] 芳香的; 芳香剂
arouse	vt. 唤醒, 鼓励, 引起 vi. 醒来
arraign	vt. 提讯, 传讯, 责难 [法] 传讯, 提审, 控告
arrange	v. 安排, 排列, 达成协议 [计] 重排
arrangement	n. 排列, 整齐, 安排 [计] 排列
array	n. 排列, 衣服, 大批, 军队 vt. 布署, 打扮, 排列 [计] 数组; 阵列
arrest	n. 逮捕, 监禁 vt. 拘捕, 抑制, 吸引, 阻止
arrogance	n. 傲慢态度, 自大
arrogant	a. 自大的, 傲慢的
arsenal	n. 兵工厂, 军械库 [机] 兵工厂
artery	n. 动脉, 干道, 要道 [医] 动脉
arthritis	n. 关节炎 [医] 关节炎
article	n. 文章, 冠词, 物品, 物件, 条款, 契约 [计] 信件
articulate	a. 发音清晰的, 口才好的 vt. 明白地说, 以关节连接, 使成为系统的整体
artifact	n. 人工制品 [医] 人为现象, 人工产物
artificial	a. 人造的, 假的, 非原地产的 [医] 人工的, 人造的, 伟牟
